uniqueid,forecasting,tool tip,node name,Category,delta,10-Aug,Monthly,,,,,,,,,,,,,,,,,,,,,,,,
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-ConsumerPriceIndex,,Consumer Price Index,Consumer Price Index,External Data:Global Context:Economic:Macro Economy,0.1,96.5,96.5,96.63333333,96.76666667,96.9,97.36666667,97.83333333,98.3,98.6,98.9,99.2,99.4,99.6,99.8,99.8,99.8,99.8,99.83333333,99.86666667,99.9,100.0666667,100.2333333,100.4,100.8666667,101.3333333,101.8
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-EarningsPerPerson,,Earnings Per Person,Earnings Per Person,External Data:Global Context:Economic:Macro Economy,0.1,978.5,978.5,984.8333333,991.1666667,997.5,1000.366667,1003.233333,1006.1,1010.5,1014.9,1019.3,1021.033333,1022.766667,1024.5,1028.033333,1031.566667,1035.1,1040.133333,1045.166667,1050.2,1052.566667,1054.933333,1057.3,1057.3,1057.3,1057.3
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-EmploymenttoPopulationRatio,,Employment to Population Ratio,Employment to Population Ratio,External Data:Global Context:Economic:Macro Economy,0.1,62.2,62.3,62.4,62.6,62.5,62.5,62.4,62.5,62.3,62.2,62.3,62.2,62.1,62.2,62.1,62,61.8,62,61.8,61.9,61.9,62,61.8,61.8,61.7,61.7
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-HourlyPayRate,,Hourly Pay Rate,Hourly Pay Rate,External Data:Global Context:Economic:Macro Economy,0.1,105.7,105.7,106,106.3,106.6,106.9333333,107.2666667,107.6,107.8,108,108.2,108.6333333,109.0666667,109.5,109.8333333,110.1666667,110.5,110.8,111.1,111.4,111.6666667,111.9333333,112.2,112.6333333,113.0666667,113.5
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-IndexNumberManufacturer,,Index Number Manufacturer,Index Number Manufacturer,External Data:Global Context:Economic:Macro Economy,0.1,98.8,98.8,98.63333333,98.46666667,98.3,98.3,98.3,98.3,98.56666667,98.83333333,99.1,99.9,100.7,101.5,101.3333333,101.1666667,101,100.2333333,99.46666667,98.7,98.73333333,98.76666667,98.8,98.76666667,98.73333333,98.7
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-IndexNumbercombined,,Index Number combined,Index Number combined,External Data:Global Context:Economic:Macro Economy,0.1,98.5,98.5,98.43333333,98.36666667,98.3,98.4,98.5,98.6,98.83333333,99.06666667,99.3,99.56666667,99.83333333,100.1,100,99.9,99.8,99.86666667,99.93333333,100,100,100,100,100.0333333,100.0666667,100.1
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-Inflation,,Inflation,Inflation,External Data:Global Context:Economic:Macro Economy,0.3,2.9,2.9,2.866666667,2.833333333,2.8,2.966666667,3.133333333,3.3,3.366666667,3.433333333,3.5,3.466666667,3.433333333,3.4,3.266666667,3.133333333,3,2.533333333,2.066666667,1.6,1.466666667,1.333333333,1.2,1.466666667,1.733333333,2
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-Inflation(periodwise),,Inflation (period wise),Inflation (period wise),External Data:Global Context:Economic:Macro Economy,1,0.7,0.7,0.6,0.5,0.4,0.733333333,1.066666667,1.4,1.233333333,1.066666667,0.9,0.8,0.7,0.6,0.4,0.2,0,0.033333333,0.066666667,0.1,0.233333333,0.366666667,0.5,0.8,1.1,1.4
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-No:ofEmployed,,No of Employed,No of Employed,External Data:Global Context:Economic:Macro Economy,0.1,11292.6,11330.9,11360.9,11411.9,11415.1,11426.2,11423.5,11446.9,11427.1,11413.6,11447,11441.1,11435.1,11452.4,11457.5,11450.5,11413.9,11463.9,11446.8,11483.6,11495.6,11522.9,11493.6,11505.7,11497,11512.6
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-No:ofunEmployed,,No of unEmployed,No of unEmployed,External Data:Global Context:Economic:Macro Economy,0.1,603,605.5,632.1,617.4,590.5,608.3,604.4,596.9,596,599.4,604,620.1,635.6,627.5,621.1,631.3,627.8,614.7,633.7,630.1,605.6,627.1,641.2,635.8,623.2,662
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-UnemploymentRate,,Unemployment Rate,Unemployment Rate,External Data:Global Context:Economic:Macro Economy,0.1,5.1,5.1,5.3,5.1,4.9,5.1,5,5,5,5,5,5.1,5.3,5.2,5.1,5.2,5.2,5.1,5.2,5.2,5,5.2,5.3,5.2,5.1,5.4
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-unEmploymenttoPopulationRatio,,UnEmployment to Population Ratio,UnEmployment to Population Ratio,External Data:Global Context:Economic:Macro Economy,0.2,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.4,2.5,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.5,2.5,2.6
asx_open,,ASX Open Price,ASX Open Price,External Data:Global Context:Financial:Stock Market:AUS,0.2,36.48,35,31.21,29.45,29.53,29.5,30.5,31.3,30.22,29.46,32.03,33.43,31.01,29.95,30.58,30.76,30.42,30.03,29.26,30.25,30.58,32.42,32,34.42,36.58,37.16
asx_high,,ASX High Price,ASX High Price,External Data:Global Context:Financial:Stock Market:AUS,0.2,36.96,37.44,35.06,31.59,29.73,30.7,30.98,31.91,31.48,30,32.55,33.49,33.23,32.37,31.26,31.92,31.41,31,30.49,30.74,31.45,32.5,32.7,34.99,37.1,39.18
asx_low,,ASX Low Price,ASX Low Price,External Data:Global Context:Financial:Stock Market:AUS,0.2,34.88,34.96,31.21,29.44,28.71,29.39,29.42,27.53,29.91,28.83,29.09,31.24,30.27,29.54,29.99,29.97,29,29.01,27.52,25.83,29.68,29.44,30.64,31.91,33.91,36.05
